Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NCC","123.70","123.90","120.30","121.30","-1.75","-1.42","26.01","31.79","141.40","76.20","27.15","-7.79"
"NBCC","101.40","102.15","98.50","99.90","-1.50","-1.48","22.07","21.97","291.30","98.50","-49.57","-52.99"
"JETAIRWAYS","488.00","493.90","474.20","476.80","-7.15","-1.48","43.07","208.41","883.45","438.25","-11.78","-22.98"
"TITAN","990.00","991.85","952.00","958.00","-15.10","-1.55","57.13","553.19","999.70","460.10","98.59","-0.44"
"MARICO","315.60","316.50","308.50","310.10","-5.05","-1.60","14.76","45.87","348.70","284.15","-1.65","-4.41"
"AMBUJACEM","220.50","221.15","216.15","216.50","-3.55","-1.61","39.17","85.60","291.50","216.15","-16.63","-7.87"
"BEL","130.00","130.60","127.50","127.70","-2.10","-1.62","24.04","30.81","193.40","126.90","-23.64","-12.23"
"RCOM","13.90","14.85","13.30","13.70","-0.25","-1.79","785.91","108.61","40.15","9.60","-58.61","-41.08"
"TATAMTRDVR","200.00","200.00","194.15","195.05","-3.55","-1.79","24.86","48.60","294.30","182.40","-25.94","-1.91"
"GODFRYPHLP","838.50","838.50","824.00","824.75","-15.15","-1.80","0.45","3.72","1,329.00","785.00","-31.40","-6.81"
"JPASSOCIAT","19.00","19.25","18.50","18.60","-0.35","-1.85","261.59","49.08","30.45","9.15","42.53","-8.82"
"ACC","1,499.00","1,499.00","1,461.35","1,466.00","-27.85","-1.86","3.62","53.34","1,869.95","1,461.35","-13.27","-4.75"
"SUZLON","10.00","10.05","9.65","9.80","-0.20","-2.00","219.01","21.51","22.25","9.65","-53.77","-19.67"
"HCC","16.95","17.05","16.35","16.55","-0.35","-2.07","67.77","11.20","46.70","15.90","-61.95","-34.19"
"IFCI","19.00","19.05","18.55","18.60","-0.40","-2.11","40.27","7.53","34.60","18.55","-42.86","-12.26"
"ADANIPOWER","24.50","24.50","23.50","23.80","-0.60","-2.46","72.73","17.38","47.80","23.10","-23.47","-9.85"
"GRANULES","96.50","97.30","92.95","93.70","-2.40","-2.50","26.17","24.70","157.25","92.95","-34.13","-13.32"
"CHENNPETRO","302.90","307.95","291.50","294.00","-8.05","-2.67","16.66","49.66","480.50","284.40","-30.45","-16.16"
"OFSS","4,226.30","4,246.40","4,105.00","4,111.00","-117.50","-2.78","0.23","9.77","4,379.20","3,372.25","9.50","4.64"
"PNB","91.85","91.90","87.20","88.80","-2.60","-2.84","199.14","177.24","231.45","87.20","-48.42","-15.59"
"JUSTDIAL","433.00","437.25","402.10","419.30","-13.75","-3.18","54.49","226.02","647.00","327.55","-18.70","-7.50"
"RNAVAL","17.30","17.75","16.25","16.55","-0.70","-4.06","78.35","13.12","72.65","16.25","-","-"
"AJANTPHARM","1,104.00","1,105.00","1,052.50","1,054.00","-48.95","-4.44","4.17","44.49","1,696.95","1,052.50","-34.06","-23.68"
"PCJEWELLER","229.80","250.70","196.40","199.10","-9.85","-4.71","949.11","2,018.29","600.65","94.55","-11.36","-35.35"
"SUNPHARMA","494.00","496.15","467.75","470.70","-26.50","-5.33","99.06","474.57","656.95","432.70","-26.77","-7.39"
"BHARTIARTL","400.15","402.70","381.50","386.05","-26.05","-6.32","230.32","896.36","564.80","336.50","3.57","0.13"
"IDEA","58.25","58.25","50.75","51.55","-6.80","-11.65","795.90","420.47","118.90","50.75","-43.16","-30.29"
