instrument_type	expiry	tick_size	name	lot_size	tradingsymbol	instrument_token	strike	exchange	segment	exchange_token	last_price
EQ		0.05	ZEE ENTERTAINMENT ENT	1	ZEEL-BE	1483009	0	NSE	NSE	5793	0
EQ		0.05	ICICI LOMBARD GIC	1	ICICIGI-BE	5574145	0	NSE	NSE	21774	0
EQ		0.05	ICICI LOMBARD GIC	1	ICICIGI-BL	5573889	0	NSE	NSE	21773	0
EQ		0.05	ICICI LOMBARD GIC	1	ICICIGI	5573121	0	NSE	NSE	21770	0
EQ		0.05	KITEX GARMENTS	1	KITEX	7398145	0	NSE	NSE	28899	0
EQ		0.05	KITPLY INDUSTRIES	1	KITPLYIND-BE	2050561	0	NSE	NSE	8010	0
EQ		0.05	KITPLY INDUSTRIES	1	KITPLYIND	488961	0	NSE	NSE	1910	0
EQ		0.05	KREBS BIOCHEMICALS & IND	1	KREBSBIO	495873	0	NSE	NSE	1937	0
EQ		0.05	KRISHNA FILAMENTS	1	KRISNAFILA	497409	0	NSE	NSE	1943	0
EQ		0.05	KRONE COMMUNICATIONS	1	KRONECOMM	498177	0	NSE	NSE	1946	0
EQ		0.01	BOND 7.75% PA 2010A S1	1	L&TINFRA-N1	5326849	0	NSE	NSE	20808	0
EQ		0.05	LAKSHMI PRE SCRE	1	LAKPRE-BE	3480833	0	NSE	NSE	13597	0
EQ		0.05	LAKSHMI VILAS BANK	1	LAKSHVILAS	504321	0	NSE	NSE	1970	0
EQ		0.05	LAMBODHARA TEXTILES	1	LAMBODHARA-BE	1641473	0	NSE	NSE	6412	0
EQ		0.05	LA OPALA RG	1	LAOPALA-BL	3693057	0	NSE	NSE	14426	0
EQ		0.05	LCC INFOTECH	1	LCCINFOTEC	1927425	0	NSE	NSE	7529	0
EQ		0.05	LAKSHMI FIN IND CORP	1	LFIC-BL	2025729	0	NSE	NSE	7913	0
EQ		0.01	LICNAMC - LICNMFET	1	LICNETFGSC	1551873	0	NSE	NSE	6062	0
EQ		0.05	LINDE INDIA	1	LINDEINDIA-BE	1668865	0	NSE	NSE	6519	0
EQ		0.05	INDIAN ENERGY EXC	1	IEX-BE	57857	0	NSE	NSE	226	0
EQ		0.05	INDIAN ENERGY EXC	1	IEX-BL	57089	0	NSE	NSE	223	0
EQ		0.05	INDIAN ENERGY EXC	1	IEX	56321	0	NSE	NSE	220	0
EQ		0.05	IFGL REFRACTORIES	1	IFGLEXPOR-BE	113153	0	NSE	NSE	442	0
EQ		0.05	IFGL REFRACTORIES	1	IFGLEXPOR-BL	112897	0	NSE	NSE	441	0
EQ		0.05	IFGL REFRACTORIES	1	IFGLEXPOR	111617	0	NSE	NSE	436	0
EQ		0.05	INNOVANA THINKLABS	1	INNOVANA-SM	170497	0	NSE	NSE	666	0
EQ		0.05	INNOVATIVE TYRES & TUBES	1	INNOVATIVE-SM	5596417	0	NSE	NSE	21861	0
EQ		0.05	JASH ENGINEERING	1	JASH-SM	9217	0	NSE	NSE	36	0
EQ		0.05	JINDAL COTEX	1	JINDCOT-BZ	182529	0	NSE	NSE	713	0
EQ		0.05	KHADIM INDIA	1	KHADIM-BE	110849	0	NSE	NSE	433	0
EQ		0.05	KHADIM INDIA	1	KHADIM-BL	110593	0	NSE	NSE	432	0
EQ		0.05	LUPIN	1	LUPIN-BE	2673153	0	NSE	NSE	10442	0
EQ		0.05	MAFATLAL FINANCE COMPANY	1	MAFATLAFIN-BL	3321601	0	NSE	NSE	12975	0
EQ		0.05	KHADIM INDIA	1	KHADIM	108801	0	NSE	NSE	425	0
EQ		0.05	LASA SUPERGENERICS	1	LASA-BE	5561089	0	NSE	NSE	21723	0
EQ		0.05	LASA SUPERGENERICS	1	LASA-BL	5560833	0	NSE	NSE	21722	0
EQ		0.05	LASA SUPERGENERICS	1	LASA	5558529	0	NSE	NSE	21713	0
EQ		0.05	LCC INFOTECH	1	LCCINFOTEC-BZ	405505	0	NSE	NSE	1584	0
EQ		0.05	MAHINDRA LOGISTIC	1	MAHLOG-BE	100097	0	NSE	NSE	391	0
EQ		0.05	MAHINDRA LOGISTIC	1	MAHLOG-BL	99329	0	NSE	NSE	388	0
EQ		0.05	MAHINDRA LOGISTIC	1	MAHLOG	98561	0	NSE	NSE	385	0
EQ		0.05	MAHARASHTRA SCOOTERS	1	MAHSCOOTER-BL	3219457	0	NSE	NSE	12576	0
EQ		0.05	MAHARASHTRA SEAMLESS	1	MAHSEAMLES-BE	2121729	0	NSE	NSE	8288	0
EQ		0.05	MAJESCO	1	MAJESCO-BL	2640129	0	NSE	NSE	10313	0
EQ		0.05	MANALI PETROCHEMICALS LT	1	MANALIPETC-BE	3532033	0	NSE	NSE	13797	0
EQ		0.05	SOFTWARE TECHNOLOGY GROUP	1	SOFTTECHGR-BL	3111169	0	NSE	NSE	12153	0
EQ		0.05	STERLITE TECHNOLOGIES	1	STRTECH-BE	2384129	0	NSE	NSE	9313	0
EQ		0.05	TARMAT	1	TARMAT-BE	3782401	0	NSE	NSE	14775	0
EQ		0.05	MALWA COTTON SPG. MILLS L	1	MALWACOTT-BZ	55809	0	NSE	NSE	218	0
EQ		0.05	MANAV INFRA PROJECTS	1	MANAV-SM	5554433	0	NSE	NSE	21697	0
EQ		0.05	MAS FINANCIAL SERV	1	MASFIN-BE	54017	0	NSE	NSE	211	0
EQ		0.05	MAS FINANCIAL SERV	1	MASFIN-BL	53249	0	NSE	NSE	208	0
EQ		0.05	MAS FINANCIAL SERV	1	MASFIN	50945	0	NSE	NSE	199	0
EQ		0.05	MATRIMONY.COM	1	MATRIMONY-BE	5562881	0	NSE	NSE	21730	0
EQ		0.05	MANGLMCEM	1	MANGLMCEM-BE	1600513	0	NSE	NSE	6252	0
EQ		0.05	MAN INFRA	1	MANINFRA-BE	4666881	0	NSE	NSE	18230	0
EQ		0.05	MANUGRAPH INDIA	1	MANUGRAPH-BE	3475201	0	NSE	NSE	13575	0
EQ		0.05	MARAL OVERSEAS	1	MARALOVER-BE	1802241	0	NSE	NSE	7040	0
EQ		0.05	MARATHON NXTGEN REALT	1	MARATHON	4776705	0	NSE	NSE	18659	0
